,VDC/Municipality,Localbody
0,,
1,,
2,,Machhapuchchhre
3,Sarkegad Rural Municipality,Sarkegad
4,,Halesi Tuwachung
5,Chhinnamasta Rural Municipality,Chhinnamasta
6,Sainamaina Municipality,Sainamaina
7,,Dupcheshwar
8,Kathmandu Metropolitan City,Kathmandu
9,Kathmandu,Kathmandu
10,Hilihang Rural Municipality,Hilihang
11,Rajbiraj Municipality,Rajbiraj
12,Rajbiraj,Rajbiraj
13,Mahadeva Rural Municipality,Mahadeva
14,,Junichande
15,,Pacharauta
16,,Benighat Rorang
17,Dhangadhimai Municipality,Dhangadhimai
18,,Tilathi Koiladi
19,,Agnisair Krishna Savaran
20,Barbardiya Municipality,Barbardiya
21,,Mithila Bihari
22,Kamalasiddhidatri Rural Municipality,Kamala
23,Kamalamai Municipality,Kamala
24,Kanchanrup Municipality,Kanchanrup
25,Khadak Municipality,Khadak
26,Paroha Municipality,Paroha
27,Diktel Rupakot Majhuwagadhi Municipality,Rupakot Majhuwagadhi
28,Raghuganga Rural Municipality,Raghuganga
29,,Byas
30,,Durga Bhagwati
31,Rajdevi Municipality,Rajdevi
32,Gadhimai Municipality,Gadhimai
33,Gujara Municipality,Gujara
34,,Laxmipur Patari
35,Janakpur Submetropolitan City,Janakpur
36,Birgunj Metropolitan City,Birgunj
37,Mudkechula Rural Municipality,Mudkechula
38,Tripurasundari Municipality,Tripurasundari
39,Tripurasundari Rural Municipality,Tripurasundari
40,Jorayal Rural Municipality,Jorayal
41,Jirabhawani Rural Municipality,Jirabhawani
42,,Hanumannagar Kankalini
43,Saptakoshi Municipality,Saptakoshi
44,Surunga Municipality,Surunga
45,,Madhav Narayan
46,Ishworpur Municipality,Ishworpur
47,Basbariya Rural Municipality,Basbariya
48,,Arnama
49,,Bahudaramai
50,,Kapilbastu
51,Pipra Rural Municipality,Pipra
52,Chankheli Rural Municipality,Chankheli
53,Suryodaya Municipality,Suryodaya
54,Hansapur Municipality,Hansapur
55,Rupani Rural Municipality,Rupani
56,Dakneshwori Municipality,Dakneshwori
57,Rautamai Rural Municipality,Rautamai
58,Chandrapur Municipality,Chandrapur
59,Kalaiya Submetropolitan City,Kalaiya
60,Karjanha Municipality,Karjanha
61,Golbazar Municipality,Golbazar
62,Lahan Municipality,Lahan
63,Bareng Rural Municipality,Bareng
64,Shadananda Municipality,Shadananda
65,Bhojpur Municipality,Bhojpur
66,,Tyamkemaiyung
67,Pauwadungma Rural Municipality,Pauwadungma
68,Gaur Municipality,Gaur
69,Gauradaha Municipality,Gaur
70,Gaurigunj Rural Municipality,Gaur
71,Gauriganga Municipality,Gaur
72,Gaurishankar Rural Municipality,Gaur
73,Gaushala Municipality,Gaushala
74,,Dasharathchanda
75,Khandachakra Municipality,Khandachakra
76,Mahalaxmi Municipality,Mahalaxmi
77,Musikot Municipality,Musikot
