,S.No.,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
2,11728,Baglung,Dhorpatan Municipality,Dhorpatan Hunting Reserve,Dhorpatan
3,11728,Baglung,Dhorpatan Municipality,Dhorpatan Hunting Reserve,Dhorpatan
4,11728,Baglung,Dhorpatan Municipality,Dhorpatan Hunting Reserve,Dhorpatan
5,11729,Kathmandu,Tarakeshwor Municipality,Tarakeshwor,Tarakeshwor
6,11730,Makawanpur,Hetauda Submetropolitan City,Hetauda,Hetauda
7,11731,Taplejung,Meringden Rural Municipality,Meringden,Meringden
8,11732,Dolakha,Baiteshwor Rural Municipality,Baiteshwor,Baiteshwor
9,11733,Bara,Pheta Rural Municipality,Pheta,Pheta
10,11734,Rautahat,Phatuwabijaypur Municipality,Phatuwa Bijayapur,Phatuwabijaypur
11,11735,Sarlahi,Harion Municipality,Hariwan,Harion
12,11736,Jhapa,Mechinagar Municipality,Mechinagar,Mechinagar
13,11737,Khotang,Halesituwachung Municipality,Halesi Tuwachung,Halesituwachung
14,11739,Jajarkot,Junichaande Rural Municipality,Junichande,Junichaande
15,11740,Bardiya,Gulariya Municipality,Gulariya,Gulariya
16,11741,Banke,Baijanath Rural Municipality,Baijanath,Baijanath
17,11742,Dang,Rajpur Rural Municipality,Rajpur,Rajpur
18,11742,Dang,Rajpur Rural Municipality,Rajpur,Rajpur
19,11743,Shyanja,Bheerkot Municipality,Bhirkot,Bheerkot
20,11744,Kathmandu,Kathmandu Metropolitan City,Kathmandu,Kathmandu
21,11745,Ramechhap,Manthali Municipality,Manthali,Manthali
22,11746,Rautahat,Yamunamai Rural Municipality,Yemunamai,Yamunamai
23,11747,Saptari,Chhinnamasta Rural Municipality,Chhinnamasta,Chhinnamasta
24,11748,Saptari,Hanumannagarkankalini Municipality,Hanumannagar Kankalini,Hanumannagarkankalini
25,11749,Rautahat,Durgabhagawati Rural Municipality,Durga Bhagwati,Durgabhagawati
26,11750,Sunsari,Dewanganj Rural Municipality,Dewanganj,Dewanganj
27,11751,Morang,Urlabari Municipality,Uralabari,Urlabari
28,11752,Banke,Kohalpur Municipality,Kohalpur,Kohalpur
29,11753,Banke,Raptisonari Rural Municipality,Rapti Sonari,Raptisonari
30,11755,Sarlahi,Bagmati Municipality,Bagmati,Bagmati
31,11755,Sarlahi,Bagmati Municipality,Bagmati,Bagmati
32,11755,Sarlahi,Bagmati Municipality,Bagmati,Bagmati
33,11756,Dhanusha,Sabaila Municipality,Sabaila,Sabaila
34,11757,Saptari,Khadak Municipality,Khadak,Khadak
35,11758,Jhapa,Birtamod Municipality,Birtamod,Birtamod
36,11759,Solukhumbu,Mapya Dudhkoshi Rural Municipality,,Mapya Dudhkoshi
37,11760,Palpa,Baganaskali Rural Municipality,Bagnaskali,Baganaskali
38,11761,Kapilbastu,Maharajgunj Municipality,Maharajgunj,Maharajgunj
39,11762,Kaski,Pokharalekhnath Metropolitan City,Pokhara Lekhnath,Pokharalekhnath
40,11765,Bara,Simraungadh Municipality,Simraungadh,Simraungadh
41,11766,Rautahat,Rajdevi Municipality,Rajdevi,Rajdevi
42,11767,Rautahat,Brindawan Municipality,Brindaban,Brindawan
43,11768,Sarlahi,Basbariya Rural Municipality,Basbariya,Basbariya
44,11769,Dhanusha,Dhanushadham Municipality,Dhanusadham,Dhanushadham
45,11770,Siraha,Sukhipur Municipality,Sukhipur,Sukhipur
46,11771,Saptari,Krishnasawaran Rural Municipality,Agnisair Krishna Savaran,Krishnasawaran
47,11772,Saptari,Rupani Rural Municipality,Rupani,Rupani
48,11773,Khotang,Diktel Rupakot Majhuwagadhi Municipality,Rupakot Majhuwagadhi,Diktel Rupakot Majhuwagadhi
49,11774,Jumla,Chandannath Municipality,Chandannath,Chandannath
50,11775,Bardiya,Thakurbaba Municipality,Thakurbaba,Thakurbaba
51,11776,Nawalparasi (Bardghat Susta East),Madhyabindu Municipality,Madhyabindu,Madhyabindu
52,11777,Nawalparasi (Bardghat Susta East),Gaidakot Municipality,Gaidakot,Gaidakot
53,11779,Chitawan,Bharatpur Metropolitan City,Bharatpur,Bharatpur
54,11780,Bara,Jeetpursimara Submetropolitan City,Jitpur Simara,Jeetpursimara
55,11781,Rautahat,Paroha Municipality,Paroha,Paroha
56,11783,Saptari,Tilathikoiladi Rural Municipality,Tilathi Koiladi,Tilathikoiladi
57,11784,Saptari,Kanchanrup Municipality,Kanchanrup,Kanchanrup
58,11786,Saptari,Bodebarsain Municipality,Bode Barsain,Bodebarsain
59,11788,Taplejung,Sirijangha Rural Municipality,Sirijangha,Sirijangha
60,11792,Myagdi,Dhawalagiri Rural Municipality,Dhaulagiri,Dhawalagiri
61,11793,Rautahat,Chandrapur Municipality,Chandrapur,Chandrapur
62,11796,Dhanusha,Ganeshmancharnath Municipality,Ganeshman Charnath,Ganeshmancharnath
63,11797,Siraha,Lahan Municipality,Lahan,Lahan
64,11798,Saptari,Surunga Municipality,Surunga,Surunga
65,11799,Saptari,Tirahut Rural Municipality,Tirahut,Tirahut
66,11801,Saptari,Saptakoshi Municipality,Saptakoshi,Saptakoshi
67,11803,Sunsari,Duhabi Municipality,Duhabi,Duhabi
68,11804,Shankhuwasabha,Chainpur Municipality,Chainpur,Chainpur
69,11806,Baglung,Badigad Rural Municipality,Badigad,Badigad
70,11807,Myagdi,Raghuganga Rural Municipality,Raghuganga,Raghuganga
71,11808,Tanahu,Vyas Municipality,Byas,Vyas
72,11808,Tanahu,Vyas Municipality,Byas,Vyas
73,11810,Makawanpur,Others,,Others
74,11811,Rautahat,Gujara Municipality,Gujara,Gujara
75,11815,Mahottari,Jaleshwor Municipality,Jaleswor,Jaleshwor
76,11816,Siraha,Dhangadhimai Municipality,Dhangadhimai,Dhangadhimai
77,11817,Siraha,Bishnupur Rural Municipality,Bishnupur,Bishnupur
78,11817,Siraha,Bishnupur Rural Municipality,Bishnupur,Bishnupur
79,11818,Siraha,Kalyanpur Municipality,Kalyanpur,Kalyanpur
80,11819,Sunsari,Itahari Submetropolitan City,Itahari,Itahari
81,11820,Sunsari,Barahkshetra Municipality,,Barahkshetra
82,11821,Udayapur,Triyuga Municipality,Triyuga,Triyuga
83,11822,Udayapur,Katari Municipality,Katari,Katari
84,11823,Dolpa,Mudkechula Rural Municipality,Mudkechula,Mudkechula
85,11824,Bardiya,Rajapur Municipality,Rajapur,Rajapur
86,11825,Banke,Duduwa Rural Municipality,Duduwa,Duduwa
87,11826,Banke,Nepalgunj Submetropolitan City,Nepalgunj,Nepalgunj
88,11827,Kapilbastu,Mayadevi Rural Municipality,Mayadevi,Mayadevi
89,11827,Kapilbastu,Mayadevi Rural Municipality,Mayadevi,Mayadevi
90,11829,Parsa,Parsagadhi Municipality,Parsagadhi,Parsagadhi
91,11830,Bara,Bishrampur Rural Municipality,Bishrampur,Bishrampur
92,11832,Rautahat,Gaur Municipality,Gauradhaha,Gaur
93,11833,Rautahat,Gadhimai Municipality,Gadhimai,Gadhimai
94,11834,Mahottari,Mahottari Rural Municipality,Mahottari,Mahottari
95,11835,Mahottari,Bardibas Municipality,Bardibas,Bardibas
96,11837,Saptari,Dakneshwori Municipality,Dakneshwori,Dakneshwori
97,11838,Morang,Budhiganga Rural Municipality,Budhiganga,Budhiganga
98,11838,Morang,Budhiganga Rural Municipality,Budhiganga,Budhiganga
99,11839,Khotang,Barahapokhari Rural Municipality,Barahapokhari,Barahapokhari
100,11841,Kapilbastu,Shivraj Municipality,Shivaraj,Shivraj
101,11842,Kapilbastu,Bijaynagar Rural Municipality,Bijayanagar,Bijaynagar
102,11843,Rupandehi,Devdaha Municipality,Devdaha,Devdaha
103,11845,Tanahu,Bhimad Municipality,Bhimad,Bhimad
104,11846,Kathmandu,Kageshworimanohara Municipality,Kageshwori Manahora,Kageshworimanohara
105,11847,Sindhupalchowk,Panchpokharithangpal Rural Municipality,Panchpokhari Thangpal,Panchpokharithangpal
106,11848,Ramechhap,Umakunda Rural Municipality,Umakunda,Umakunda
107,11849,Rautahat,Madhavnarayan Municipality,Madhav Narayan,Madhavnarayan
108,11850,Dhanusha,Hansapur Municipality,Hansapur,Hansapur
109,11851,Siraha,Anarma Rural Municipality,Arnama,Anarma
110,11859,Rukum East,Puthauttarganga Rural Municipality,Putha Uttarganga,Puthauttarganga
111,11860,Mustang,Gharpajhong Rural Municipality,Gharapjhong,Gharpajhong
112,11863,Kathmandu,Nagarjun Municipality,Nagarjun,Nagarjun
113,11864,Makawanpur,Manahari Rural Municipality,Manahari,Manahari
114,11865,Kavrepalanchowk,Banepa Municipality,Banepa,Banepa
115,11867,Rautahat,Baudhimai Municipality,Baudhimai,Baudhimai
116,11868,Rautahat,Katahariya Municipality,Katahariya,Katahariya
117,11869,Mahottari,Gaushala Municipality,Gaushala,Gaushala
118,11871,Dhanusha,Aurahi Rural Municipality,Aurahi,Aurahi
119,11871,Dhanusha,Aurahi Rural Municipality,Aurahi,Aurahi
120,11872,Siraha,Laxmipurpatari Rural Municipality,Laxmipur Patari,Laxmipurpatari
121,11873,Siraha,Nawarajpur Rural Municipality,Nawarajpur,Nawarajpur
122,11877,Bhojpur,Temkemaiyun Rural Municipality,Tyamkemaiyung,Temkemaiyun
123,11878,Bhojpur,Pauwadungma Rural Municipality,Pauwadungma,Pauwadungma
124,11879,Terhathum,Phedap Rural Municipality,Phedap,Phedap
125,11883,Tanahu,Ghiring Rural Municipality,Ghiring,Ghiring
126,11884,Parsa,Birgunj Metropolitan City,Birgunj,Birgunj
127,11885,Bara,Kalaiya Submetropolitan City,Kalaiya,Kalaiya
128,11891,Dhanusha,Mukhiyapattimusaharmiya Rural Municipality,Mukhiyapatti Musarmiya,Mukhiyapattimusaharmiya
129,11892,Dhanusha,Laxminiya Rural Municipality,Lakshminiya,Laxminiya
