,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
0,,,,
1,,,,
2,Baglung,Dhorpatan Municipality,Dhorpatan Hunting Reserve,Dhorpatan
3,Baglung,Dhorpatan Municipality,Dhorpatan,Dhorpatan
4,Baglung,Dhorpatan Municipality,Dhorpatan Hunting Reserve,Dhorpatan
5,Baglung,Dhorpatan Municipality,Dhorpatan Hunting Reserve,Dhorpatan
6,Kathmandu,Tarakeshwor Municipality,Tarakeshwor,Tarakeshwor
7,Makawanpur,Hetauda Submetropolitan City,Hetauda,Hetauda
8,Taplejung,Meringden Rural Municipality,Meringden,Meringden
9,Dolakha,Baiteshwor Rural Municipality,Baiteshwor,Baiteshwor
10,Bara,Pheta Rural Municipality,Pheta,Pheta
11,Rautahat,Phatuwabijaypur Municipality,,Phatuwabijaypur
12,Sarlahi,Harion Municipality,,Harion
13,Jhapa,Mechinagar Municipality,Mechinagar,Mechinagar
14,Khotang,Halesituwachung Municipality,,Halesituwachung
15,Jajarkot,Junichaande Rural Municipality,,Junichaande
16,Bardiya,Gulariya Municipality,Gulariya,Gulariya
17,Banke,Baijanath Rural Municipality,Baijanath,Baijanath
18,Dang,Rajpur Rural Municipality,Rajpur,Rajpur
19,Dang,Rajpur Rural Municipality,Rajpur,Rajpur
20,Shyanja,Bheerkot Municipality,,Bheerkot
21,Kathmandu,Kathmandu Metropolitan City,,Kathmandu Metropolitan City
22,Ramechhap,Manthali Municipality,Manthali,Manthali
23,Rautahat,Yamunamai Rural Municipality,,Yamunamai
24,Saptari,Chhinnamasta Rural Municipality,Chhinnamasta,Chhinnamasta
25,Saptari,Hanumannagarkankalini Municipality,,Hanumannagarkankalini
26,Rautahat,Durgabhagawati Rural Municipality,,Durgabhagawati
27,Sunsari,Dewanganj Rural Municipality,Dewanganj,Dewanganj
28,Morang,Urlabari Municipality,,Urlabari
29,Banke,Kohalpur Municipality,Kohalpur,Kohalpur
30,Banke,Raptisonari Rural Municipality,,Raptisonari
31,Sarlahi,Bagmati Municipality,Bagmati,Bagmati
32,Sarlahi,Bagmati Municipality,Bagmati,Bagmati
33,Sarlahi,Bagmati Municipality,Bagmati,Bagmati
34,Dhanusha,Sabaila Municipality,Sabaila,Sabaila
35,Saptari,Khadak Municipality,Khadak,Khadak
36,Jhapa,Birtamod Municipality,Birtamod,Birtamod
37,Solukhumbu,Mapya Dudhkoshi Rural Municipality,,Mapya Dudhkoshi
38,Palpa,Baganaskali Rural Municipality,,Baganaskali
39,Kapilbastu,Maharajgunj Municipality,Maharajgunj,Maharajgunj
40,Kaski,Pokharalekhnath Metropolitan City,,Pokharalekhnath Metropolitan City
41,Bara,Simraungadh Municipality,Simraungadh,Simraungadh
42,Rautahat,Rajdevi Municipality,Rajdevi,Rajdevi
43,Rautahat,Brindawan Municipality,,Brindawan
